Time	Open	High	Low	Close	Volume
2008-05-20 00:00:00	903.411	922.613	902.965	918.263	1390
2008-05-21 00:00:00	918.204	934.916	916.088	934.142	1403
2008-05-22 00:00:00	934.083	934.831	916.939	917.937	1399
2008-05-23 00:00:00	917.899	928.159	914.672	923.975	1175
2008-05-25 00:00:00	923.923	928.049	922.855	927.48	199
2008-05-26 00:00:00	927.508	930.392	923.11	929.255	1236
2008-05-27 00:00:00	929.287	929.816	904.03	905.828	1395
2008-05-28 00:00:00	905.811	909.425	889.224	899.793	1394
2008-05-29 00:00:00	899.9	901.086	873.128	879.439	1393
2008-05-30 00:00:00	879.598	888.64	870.734	885.468	1174
2008-06-01 00:00:00	885.669	888.073	885.622	886.863	196
2008-06-02 00:00:00	886.911	896.981	880.98	891.545	1366
2008-06-03 00:00:00	891.375	896.609	875.255	879.52	1392
2008-06-04 00:00:00	879.515	886.177	875.749	877.355	1373
2008-06-05 00:00:00	877.275	879.436	864.592	877.643	1389
2008-06-06 00:00:00	877.927	901.87	877.301	901.005	1184
2008-06-08 00:00:00	901.148	904.449	899.79	899.887	201
2008-06-09 00:00:00	899.774	908.525	890.11	891.387	1380
2008-06-10 00:00:00	891.44	891.44	863.823	868.472	1384
2008-06-11 00:00:00	868.451	882.491	868.331	880.103	1390
2008-06-12 00:00:00	880.04	880.342	857.264	871.169	1375
2008-06-13 00:00:00	871.23	873.945	858.955	870.946	1184
2008-06-15 00:00:00	870.569	872.248	868.672	871.53	199
2008-06-16 00:00:00	871.433	894.384	866.394	880.773	1383
2008-06-17 00:00:00	881.07	888.297	874.697	883.597	1390
2008-06-18 00:00:00	883.723	895.597	880.523	892.423	1376
2008-06-19 00:00:00	892.62	908.338	886.18	896.347	1391
2008-06-20 00:00:00	896.645	907.622	895.697	901.069	1170
2008-06-22 00:00:00	900.647	905.54	900.535	903.813	202
2008-06-23 00:00:00	903.718	907.023	877.775	885.838	1388
2008-06-24 00:00:00	885.98	893.511	882.744	885.967	1380
2008-06-25 00:00:00	885.959	890.116	873.559	885.842	1368
2008-06-26 00:00:00	886.024	917.594	885.152	913.282	1396
2008-06-27 00:00:00	913.496	930.268	909.941	926.898	1177
2008-06-29 00:00:00	926.947	929.464	925.13	926.837	212
2008-06-30 00:00:00	926.751	934.84	918.05	923.393	1385
2008-07-01 00:00:00	923.494	945.823	921.553	939.739	1402
2008-07-02 00:00:00	939.702	945.229	931.427	942.544	1399
2008-07-03 00:00:00	942.681	946.028	928.031	932.98	1361
2008-07-04 00:00:00	933.097	936.004	928.736	932.014	1067
2008-07-06 00:00:00	932.07	932.847	929.131	930.395	208
2008-07-07 00:00:00	930.358	930.819	914.637	925.584	1397
2008-07-08 00:00:00	925.674	932.836	912.577	916.62	1384
2008-07-09 00:00:00	916.565	929.581	915.588	929.312	1387
2008-07-10 00:00:00	929.455	947.273	925.157	942.585	1375
2008-07-11 00:00:00	942.646	967.254	941.42	962.989	1190
2008-07-13 00:00:00	963.439	966.43	961.08	964.836	200
2008-07-14 00:00:00	964.864	974.896	953.76	971.095	1395
2008-07-15 00:00:00	971.081	987.517	968.763	971.716	1412
2008-07-16 00:00:00	971.765	980.712	957.458	965.136	1387
2008-07-17 00:00:00	965.156	978.218	953.329	955.051	1401
2008-07-18 00:00:00	955.167	964.124	949.782	953.86	1187
2008-07-20 00:00:00	954.047	958.742	953.969	958.644	198
2008-07-21 00:00:00	958.53	968.053	957.765	966.961	1379
2008-07-22 00:00:00	967.091	975.69	942.636	947.551	1380
2008-07-23 00:00:00	947.488	948.063	917.139	917.576	1385
2008-07-24 00:00:00	917.517	930.698	916.497	927.954	1387
2008-07-25 00:00:00	927.892	934.841	918.576	928.649	1183
2008-07-27 00:00:00	928.398	930.872	926.87	930.016	206
2008-07-28 00:00:00	930.012	932.911	922.359	932.373	1397
2008-07-29 00:00:00	932.497	932.892	914.023	915.764	1386
2008-07-30 00:00:00	915.874	918.053	893.433	909.979	1384
2008-07-31 00:00:00	909.854	924.986	907.262	910.832	1382
2008-08-01 00:00:00	910.921	916.457	901.362	909.79	1181
2008-08-03 00:00:00	909.319	913.92	908.317	910.241	200
2008-08-04 00:00:00	910.152	914.832	891.794	892.488	1388
2008-08-05 00:00:00	892.594	893.974	872.162	877.882	1396
2008-08-06 00:00:00	877.839	886.175	872.882	881.266	1372
2008-08-07 00:00:00	881.263	884.534	866.488	866.501	1395
2008-08-08 00:00:00	866.575	870.572	850.499	855.479	1193
2008-08-10 00:00:00	855.074	861.888	854.773	859.356	208
2008-08-11 00:00:00	859.45	865.402	811.482	811.605	1400
2008-08-12 00:00:00	811.782	826.326	802.154	815.913	1404
2008-08-13 00:00:00	815.854	831.472	805.232	829.077	1391
2008-08-14 00:00:00	829.103	836.336	788.303	791.606	1410
2008-08-15 00:00:00	791.745	799.058	776.383	786.398	1197
2008-08-17 00:00:00	785.223	798.589	785.162	796.888	200
2008-08-18 00:00:00	796.912	803.616	789.601	790.894	1399
2008-08-19 00:00:00	790.858	818.059	782.497	817.115	1409
2008-08-20 00:00:00	817.091	817.665	799.902	815.177	1391
2008-08-21 00:00:00	815.173	838.018	813.795	836.004	1405
2008-08-22 00:00:00	836.036	837.413	820.839	821.879	1192
2008-08-24 00:00:00	821.823	824.152	817.007	817.007	205
2008-08-25 00:00:00	816.971	825.342	816.365	818.226	1399
2008-08-26 00:00:00	818.51	829.312	806.635	825.968	1399
2008-08-27 00:00:00	826.158	835.134	822.667	829.061	1396
2008-08-28 00:00:00	829.022	843.574	825.028	832.088	1363
2008-08-29 00:00:00	832.179	838.324	829.012	830.363	1181
2008-08-31 00:00:00	829.547	835.944	829.478	830.051	183
2008-09-01 00:00:00	829.796	834.921	812.588	814.525	1351
2008-09-02 00:00:00	814.54	817.087	790.828	805.282	1395
2008-09-03 00:00:00	805.247	808.128	789.11	803.041	1406
2008-09-04 00:00:00	803.181	814.435	789.758	790.961	1405
2008-09-05 00:00:00	791.003	817.758	790.751	802.924	1194
2008-09-07 00:00:00	802.548	816.128	802.467	813.95	177
2008-09-08 00:00:00	814.176	817.937	796.75	801.156	1404
2008-09-09 00:00:00	801.082	804.536	762.726	766.511	1413
2008-09-10 00:00:00	766.639	783.122	748.586	751.728	1418
2008-09-11 00:00:00	751.807	757.551	736.113	749.692	1405
2008-09-12 00:00:00	749.8	766.392	745.793	764.293	1193
2008-09-14 00:00:00	763.172	784.269	763.089	781.862	159
2008-09-15 00:00:00	781.896	787.326	764.339	778.823	1412
2008-09-16 00:00:00	778.739	789.59	771.584	783.165	1412
2008-09-17 00:00:00	783.337	891.961	776.997	889.997	1410
2008-09-18 00:00:00	889.911	912.91	836.081	856.257	1409
2008-09-19 00:00:00	856.045	875.123	823.764	871.483	1198
2008-09-21 00:00:00	871.97	881.443	869.403	869.802	212
2008-09-22 00:00:00	869.34	909.065	861.804	907.329	1410
2008-09-23 00:00:00	907.188	907.453	879.695	883.117	1408
2008-09-24 00:00:00	883.128	900.652	876.16	885.083	1409
2008-09-25 00:00:00	885.033	895.254	863.567	880.314	1407
2008-09-26 00:00:00	880.382	909.021	865.743	877.412	1200
2008-09-28 00:00:00	883.02	883.07	869.137	870.95	201
2008-09-29 00:00:00	870.783	922.361	866.423	904.591	1414
2008-09-30 00:00:00	904.632	906.466	855.801	877.921	1403
2008-10-01 00:00:00	877.981	892.86	864.216	870.249	1410
2008-10-02 00:00:00	870.249	875.227	828.81	831.938	1398
2008-10-03 00:00:00	831.915	846.527	820.199	833.342	1195
2008-10-05 00:00:00	834.57	835.34	824.389	827.452	209
2008-10-06 00:00:00	827.6	875.262	825.532	863.83	1402
2008-10-07 00:00:00	863.508	890.15	859.601	883.874	1399
2008-10-08 00:00:00	884.049	920.883	877.491	902.753	1413
2008-10-09 00:00:00	902.838	925.78	880.708	923.589	1415
2008-10-10 00:00:00	923.77	929.895	823.911	848.731	1196
